Day,Minute,Acti Data
Monday,1057,64
Monday,1058,0
Monday,1059,0
Monday,1060,13
Monday,1061,141
Monday,1062,13
Monday,1063,115
Monday,1064,38
Monday,1065,38
Monday,1066,0
Monday,1067,0
Monday,1068,13
Monday,1069,13
Monday,1070,182
Monday,1071,873
Monday,1072,77
Monday,1073,64
Monday,1074,479
Monday,1075,538
Monday,1076,1085
Monday,1077,371
Monday,1078,684
Monday,1079,141
Monday,1080,684
Monday,1081,38
Monday,1082,13
Monday,1083,0
Monday,1084,13
Monday,1085,0
Monday,1086,128
Monday,1087,26
Monday,1088,64
Monday,1089,13
Monday,1090,26
Monday,1091,77
Monday,1092,1262
Monday,1093,1357
Monday,1094,1864
Monday,1095,620
Monday,1096,950
Monday,1097,730
Monday,1098,274
Monday,1099,1390
Monday,1100,77
Monday,1101,166
Monday,1102,51
Monday,1103,353
Monday,1104,154
Monday,1105,730
Monday,1106,873
Monday,1107,128
Monday,1108,899
Monday,1109,1201
Monday,1110,847
Monday,1111,1293
Monday,1112,353
Monday,1113,620
Monday,1114,425
Monday,1115,1390
Monday,1116,2074
Monday,1117,1170
Monday,1118,2445
Monday,1119,1142
Monday,1120,730
Monday,1121,2755
Monday,1122,1001
Monday,1123,1201
Monday,1124,212
Monday,1125,1057
Monday,1126,799
Monday,1127,579
Monday,1128,1029
Monday,1129,243
Monday,1130,38
Monday,1131,128
Monday,1132,335
Monday,1133,51
Monday,1134,212
Monday,1135,407
Monday,1136,660
Monday,1137,1029
Monday,1138,873
Monday,1139,579
Monday,1140,707
Monday,1141,1001
Monday,1142,660
Monday,1143,259
Monday,1144,873
Monday,1145,1562
Monday,1146,975
Monday,1147,1708
Monday,1148,1001
Monday,1149,1142
Monday,1150,1142
Monday,1151,121.3712332
Monday,1152,0
Monday,1153,0
Monday,1154,0
Monday,1155,0
Monday,1156,0
Monday,1157,0
Monday,1158,0
Monday,1159,0
Monday,1160,0
Monday,1161,0
Monday,1162,0
Monday,1163,0
Monday,1164,0
Monday,1165,0
Monday,1166,0
Monday,1167,0
Monday,1168,0
Monday,1169,0
Monday,1170,0
Monday,1171,0
Monday,1172,0
Monday,1173,0
Monday,1174,0
Monday,1175,0
Monday,1176,0
Monday,1177,0
Monday,1178,0
Monday,1179,0
Monday,1180,0
Monday,1181,0
Monday,1182,0
Monday,1183,0
Monday,1184,0
Monday,1185,0
Monday,1186,0
Monday,1187,0
Monday,1188,0
Monday,1189,0
Monday,1190,0
Monday,1191,0
Monday,1192,0
Monday,1193,0
Monday,1194,0
Monday,1195,0
Monday,1196,0
Monday,1197,0
Monday,1198,0
Monday,1199,0
Monday,1200,0
Monday,1201,0
Monday,1202,0
Monday,1203,0
Monday,1204,0
Monday,1205,0
Monday,1206,0
Monday,1207,0
Monday,1208,0
Monday,1209,0
Monday,1210,0
Monday,1211,0
Monday,1212,0
Monday,1213,0
