Subj_1,Subj_2,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_27,Subj_28,Subj_30,Subj_31,Subj_33,Subj_34
30.2,0,0,117.3,48.8,5.2,15,7,0,36.4,0,20,4.8,0,0,0,0,0,0,3.25,36.2,6,1,166.4,26.1,155.8,44,38.6,36.6
12.6,12.8,4.8,222.1,34.2,7.6,0,9.4,0,36.14165786,0,7.6,7.2,0,30.2,101.6666667,0,0,26.6,0,2.4,8,0,198,29.8,82.8,52,0,59
35.2,25.6,17,107.4,4.8,0,0,0,120.5,43.4,69.2,7.6,4.8,0,5,0,0,0,0,0,65.6,15,0,249.6,31.8,264.4,10,5,63.6
10.2,5.2,0,5,7.2,0,0,60.6,259.25,12.8,66.4,0,2.4,0,0,0,3.8,0,14.4,0,16.8,0,0,277.4,84.6,400.9,0,0,138
0,18,0,0,19.4,0,0,0,44.5,42.4,74.2,143,4.8,0,0,0,0,2.6,0,0,41,0,0,163.2,27,306.3,2,0,88
117.4,0,12,0,14.4,0,2.6,0,126.75,12.8,0,22.6,24.2,0,0,0,17.9,10.2,24.2,0,45.8,71.2,0,263.6,31.9,131.1,0,0,32.8
0,0,124.6,0,9.6,0,0,0,0,5.2,17.6,0,9.6,0,0,0,24.3,0,26.6,3.25,24,0,0,229.8,21.2,108.7,0,0,57
69.2,0,186.4,0,29,0,0,83.8,0,0,2.6,0,26.6,0,0,0,18,0,29,0,33.8,0,138.2,123.8,45.9,158.3,0,0,28
0,2.6,189.4,55.7,7.2,0,0,0,0,172,5,5,14.4,0,0,0,30.2,0,2.4,0,50.8,0,0,248.6,10.2,186.8,0,15,73.4
0,42.4,434.6,10.5,80,0,0,0,0,78.2,0,0,0,0,0,0,3.8,23,29,0,24,20,0,290.2,45.2,365.9,0,2.6,31
25,0,134.2,0,204.2,0,0,0,0,170.6,2.6,0,0,32.6,0,0,0,0,51.6,9.5,28.8,0,1,238.6,16.3,138,0,2.6,30.8
0,103.4,9.6,2,239.6,2.6,0,2.4,0,5.2,32.6,32.6,16.8,0,0,0,0,0,89.4,0,21.8,18,5.1,258.8,18.2,12,2,0,182.8
30.2,70.6,0,2,268.6,0,0,33,0,2.6,7.6,5,9.6,0,0,0,32,0,124,28.25,33.8,49.2,68.5,287.2,4.9,20.5,47.6,0,145.4
20,0,0,0,232.4,0,0,0,0,222.8,2.6,0,12,41.6,27.6,0,5.2,0,7.2,22,2.4,0,0,565.4,27.1,17.5,16,0,126.8
452.2,99.4,0,0,223,0,0,0,0,59.8,27.6,22.6,21.6,7.6,79.8,34,0,2.6,2.4,0,31.4,273,0,323,40.4,25,20,0,56.2
149.6,0,0,11,238.2,0,0,0,0,12.8,0,17.6,36,62.8,0,38.33333333,0,0,7.2,0,9.6,19,70.2,352.8,344.4,68,32,0,135
243.4,0,0,0,40,5.2,2.6,0,99.75,23,10,15,4.8,0,7.6,0,1.3,0,9.6,0,14.4,8,16.4,198,102.4,54,34.2,0,57.8
143,2.6,12,7,238.2,0,0,0,108.5,0,0,0,56.4,0,0,0,57.9,0,0,0,16.8,12,0,254,186.5,7,45.6,0,17.4
172.2,5.2,63,0,87,0,2.6,67.4,0,88.6,0,10,9.6,0,0,47,30.5,10.2,51.6,0,41,26.2,3,280.8,182.3603918,57.3,83.4,0,23
0,48.6,0,4.5,2.4,0,7.6,0,0,164,15.2,5,7.2,2.6,0,0,0,0,0,0,16.8,19,0,216.4,47.3,100.2,57.2,0,171
35.6,5.2,0,6,0,0,0,4.6,0,2.6,0,0,56,0,5,0,0,15.4,38.6,0,14.4,77.2,24.6,279.8,89.4,73.2,1,0,186
313.2,0,80.2,0,0,38.4,0,0,0,5.2,0,15,16.8,0,10,55.33333333,0,85,21.8,0,29,0,0,420.2,92.8,176.3,0,25,46.4
