Subj_5,Subj_7,Subj_8,Subj_10,Subj_14,Subj_15,Subj_18,Subj_23
87.1,12.8,12.6,151.75,797,14.4,60.66666667,21.8
61.5,25.6,22.6,66.37754986,833.8,7.2,206.6666667,2.4
57.7,36.4,7.6,466.75,883.6,17,72.33333333,0
74,30.8,10,365.25,966.4,21.8,0,2.4
1,28.2,0,245.25,714.4,33.8,8.666666667,0
33.3,35.8,35.2,264.75,581.8,21.8,8.666666667,12
83.8,128,58.2,67.25,580.6,19.4,0,4.8
23,48.6,15,99.75,293.2,40,113.896599,0
23.6,84.4,46.6,44.5,787.2,2.4,266.3333333,0
71.8,60.4,0,117.25,477,21.8,243,2.4
343,60,12.6,239,459.6,33.8,300.3333333,0
646.7,157.8,37.6,126.75,563.6,41,338,4.8
365.7,125,5,213.25,534,9.6,433.896599,63.2
276.5,133.2,62.8,12.5,409.6,14.4,105,0
224.4,33.2,83.6,105.5,462,24,371.3333333,9.6
274.3,64,56.8,37.75,757.4,16.8,463.3333333,4.8
213.6,70.6,90.4,178.75,990.2,9.6,305.6666667,0
214,18,143,195.75,846.8,4.8,1163.333333,2.4
73.6,23,109.4,239,381.2,67,717.6666667,0
10,67,121.4,267.25,666,9.6,559,0
37.6,179.8,20,749.75,769.6,9.6,454,2.4
256.6,81.4,83.4,134.25,377,55.6,246.6666667,31.4
265.7,69.6,65.6,129.6275499,820,4.8,430.3333333,48.6
102.9,96.8,25,310,747.8,7.2,1049.666667,140
212.7,158.8,35.6,346.5,443.2,31.4,723.6666667,14.4
482.5,151,38.6,176.75,541.2,4.8,516.3333333,121.2
240.5,236,5,248.5,928.8,12,567.6666667,142.4
353.9,190.5016288,2.6,482.5,707,4.8,570,93.4
348.3,158.2,56.6,329.25,382.6,50.6,627.3333333,0
452.3,155.6,133,343.25,508.8,53.2,700,0
470.5,136.6,130.6,268.25,338.2,103.8,1005.333333,7.2
209.6,100.8,304.2,37.75,788.6,29,1822.666667,0
166.1,122.8,152,48.25,666,33.8,1009.666667,9.6
194.0738061,83,125.4,47,639.6,41,1404,54.4
96.2,67.6,154,6.25,1724.2,66.2,801.3333333,86
111.9,79.4,337.2,50.25,548.2,2.4,483.2299323,48.8
169.6,65,30.2,104,968.8,4.8,682.6666667,19.2
63.7,10.2,41.6,50.25,740.4,9.6,246.6666667,21.8
59.7,38.4,7.6,121.75,395.2,14.4,301.3333333,7.2
15.5,148,10,252.75,834.2,4.8,221,51.6
78.9,33.2,0,3.25,308.8,36,330.3333333,0
91.9,51.2,94.4,28.25,708.2,14.4,337,4.8
212.7,63.6,134,6.25,184.4,2.4,414.6666667,0
144.9,49.6,69.2,0,224,26.6,104.6666667,40
293.4,75,17.6,0,1239.8,7.2,89.33333333,101.4
105.8,60.4,17.6,0,465,21.8,624,24.2
78.4,97.8,12.6,25,251,34.2,292,29
100.8,78,0,6.25,169.6,9.6,89.66666667,0
136.9,60,2.6,0,448.4,19.4,253.3333333,9.6
70.8,23,2.6,3.25,588.8,38.6,536,29
84.2,30.8,0,0,966.2,16.8,1066.666667,9.6
180.1,23,2.6,348.25,438.8,4.8,1013,0
304.3,10.2,20.2,9.5,460.2,19.2,987.3333333,2.4
136.3,54.8,20.2,111.75,588,4.8,762.6666667,0
169.6,134.2,2.6,9.5,967.8,31.4,235.6666667,7.2
193.3,349.2,145,3.25,523.6,21.8,141.6666667,31.4
117.4,152.6,90.8,9.5,660.4,31.4,167.3333333,0
188.5,144,62.8,112.25,273,21.8,65.66666667,9.6
224.6,207.8,122.4,0,821.6,19.2,214.3333333,21.8
297.1,305.2,12.6,25,490.4,19.2,419,4.8
439.9,48.6,201.2,37.75,536,38.6,186,2.4
436.7,61,211.2,357,296.2,131.4,143.3333333,4.8
605.3,73.8,0,466.75,711.2,4.8,192.6666667,0
438.7,88.6,0,408.8775499,745,24,222.6666667,4.8
310.9,56.4,7.6,317.25,1006.8,22.21162871,472,0
225.8,109.6,0,141.75,836.8,7.2,539.3333333,0
262,121.4,12.6,420.25,630.4,88.8,349.6666667,0
158.1,30.6,15.2,594,184.8,21.6,244.3333333,4.8
321.5,33.2,20,709,430.6,16.8,379.6666667,2.4
225.5,2.6,37.8,354.5,502.4,61.6,301.3333333,19.4
548.7,23,17.6,844.5,945.2,14.4,251,98.6
432.6,0,17.6,579.75,760.4,9.6,583.3333333,2.4
285.7,118.8,0,226,1653,0,497.6666667,4.8
322,67.6,17.6,250.25,255.4,50.8,292,116.8
379.9,100,169.8,254,166.6,29,157,9.6
187,181.8,508.4,294.25,170.6,56.01162871,361,97.6
245.5,303.8,202.6,404.5,154,71,327,46
188.7,332.2,181.2,845,294.6,31.4,198,31.4
362,249,101.4,712,270,12,172.3333333,14.4
593,160.3016288,7.6,458.5,542.4,26.4,674.3333333,14.4
370.6,234.2,0,741,867.4,40,398.896599,33.8
391.4,129.6,27.6,797.25,249.6,75.4,581.6666667,44.4
398.3,131.6,27.6,836.25,292,41.2,245.6666667,58.4
380.4,148.4,0,635.5,439.4,137.6,158,21.8
393,218.8,0,1300.5,854.4,95.2,140,31.4
174.9,161.2,20,875.25,1196.6,78.2,257.6666667,65.2
275.6,155.8,15.2,823.25,575.4,121.6,804.6666667,142
105.1,129.4,2.6,402,232.4,93.2,232.6666667,252.6
167.4,125,7.6,779,627.8,41,221,203.2
117.4,190.2,12.6,635.5,934.6,93,289.3333333,54
121.5,149,30.2,768.5,897.2,51.6,389,41.4
84.6,283.8,7.6,383.25,719.8,108.8,290,87
281.4,190.4,0,268.5,518,147.2,435.3333333,90.4
424.1,192.6,2.6,347,481,121.2,687.6666667,138.2
407.1,130,0,329.5,710.4,164.8,738,66
366.2,196,0,184.5,770,57,612,63.8
243.8,292.8,25,229,403.6,171.6,484.6666667,73.4
435.8,344.4,7.6,394,362.8,134.8,992,121.6
390.5,176.2,65.8,365.75,345.2,107.2,693.6666667,59.4
151.7,267.4,130,283.5,192.6,162.8,489.3333333,21.8
333.6,240,105.4,236,527,137.2,541,145.8
149.9,216.2,0,364.5,672.2,90.4,214.3333333,78.8
335.4,216,73.4,682,778,50.2,366,124.2
211.8,167.4,50.2,723.25,357.6,87,156,82
194.6,81.8,2.6,352.75,345.4,92.2,690.6666667,116.4
125.1,152.4,27.6,249.75,418.2,77.8,683.6666667,29
131.9,191.8,5,566.25,619.8,99.4,616,93.2
307.1,180.6,12.6,670.5,970.6,212.4,672.3333333,9.6
296.5,204,7.6,351.75,1445.2,403.6,765,153.6
439,330.2,0,365.75,821.6,481.2,525.6666667,112.2
493,286.8,7.6,440.5,583.8,197.4,923.3333333,99
223.5,125.5016288,30.2,303.75,376,438.6,800.3333333,87
165.7,276.6,22.6,1129.25,724.8,201,446.3333333,358
240.1,234.8,15,759.75,702.4,318.8,480.6666667,89.2
266.9,182.2,25.2,782.5,839.9315065,452.6,363.6666667,89.4
418.1,131,7.6,677,602.4,351.2,368.6666667,155.4
446.2,268,47.6,573.5,354,66.6,526.6666667,118.6
486.9,92,86.8,582.75,839.8,89.8,572,99.4
608.3,170.4,2.6,480.5,812.6,155,522.3333333,85.4
717.7,160.6,0,1019.5,665.2,181.6,716,68
699.7,121,35.6,915.5,359.6,459.2,316.6666667,148.2
603.1,148.4,18.25696313,944.75,521.4,462.8,623,312.4
564.5,95.6,71.4,350.5,680.2,447.8,418,280.2
484.7,95.4,32.6,452.25,783.2,377.2,502.6666667,173.2
259.8,53.2,58.2,305,252.2,106.8,993.6666667,139.6
444.4,46.6,10,498.5,246.4,118.8,1042,129.4
420.3,51.8,198.8,520.75,611.6,186,645.6666667,178.8
150.3,146.6,113.4,942.25,758.2,433.8,683.6666667,98
153.7,307.8,51.2,762.5,800.2,264.6,515.6666667,154.6
355.8,176.8,65.8,738,618.8,82.6,406.3333333,155.6
329.3,184.4,114.6,621.25,632.6,327.6,462.3333333,249.2
193.8,237.2,59.2,227,453.6,189.4,443,155
514.6,315,17.6,459.75,289,14.4,536.6666667,270.8
751.7,275.4,69.2,465.5,221.4,224.6,439,156.4
657.1,318.4,276,328,245.4,100,652,298.4
649.9,182.8,136,345.5,576.2,16.8,589.6666667,331.4
529.1,36,160,207.75,567.6,9.6,514.6666667,307.2
314.8,59.8,163.6,96.5,382.8,53.4,668.3333333,158.8
237.4,57,140.4,212.5,889,29,595.6666667,464
304.5,56.4,201.2,478.25,903,46.2,273.3333333,408.2
175.2,51.2,479.4,204.5,1094.6,38.6,257,140
316.5,102,289.2,491.25,1008,84.4,99,225
152.9,92.2,173.2,266,382,62.2,555.3333333,131.4
167.6,41,176,757.25,311.8,21.6,220.3333333,195.2
247.4,66.6,157,314.25,1397.8,36.4,414,294
383.5,46.2,37.8,313.25,1175,89.8,190,551.4
353.1,146.4,171.8,673.75,462.8,12,438.6666667,396.4
258.5,229,222.4569631,995.25,270.8,31.4,630.3333333,228.4
268.6,80.8,22.8,978.75,421.6,50.8,525.3333333,399.8
158.1,41,150.6,485.5,376.4,36.2,738,256
178,7.8,214.8,596.75,396.4,0,407,384.6
145.8,39,193.8,371.5,1297.6,48.2,566.6666667,150
391.5,28.2,302.2,349.5,789.2,33.8,574.3333333,181.8
422,10.2,277.6,446,615.4,59.8,411.3333333,166.4
263.6,66.2,254.2,510,814.4,24.2,574.3333333,309.4
